标题,链接,up主,up主id,精确播放数,历史累计弹幕数,点赞数,投硬币枚数,收藏人数,转发人数,发布时间,视频时长(秒),视频简介,作者简介,标签,视频aid
私密马赛,https://www.bilibili.com/video/BV1Lo4y1M7YN,小壴本人啊,1327216231,565901,73,58950,522,5238,415,2023/5/28 10:52,8,-,未找到作者简介,"原来家还可以这样,体育,手指滑板,运动,运动综合",401728426
小狗保佑你～,https://www.bilibili.com/video/BV1ho4y1M7sA,线条小狗Maltese,3.46157E+15,126572,7066,42046,3747,3719,6564,2023/6/1 10:00,8,-,未找到作者简介,"绘画,线条小狗,线条小狗Maltese,生活,绘画",401751648
【蔡徐坤】打碟现场，一首《冲鸡星》mash up古文《季姬击鸡记》引爆全场！,https://www.bilibili.com/video/BV1QL411q7Gg,番茄小袁子,299348275,345032,52,23461,1463,5125,4724,2023/5/29 15:01,21,BGM:https://b23.tv/oY0Rp1A @浪迹天涯的小光,未找到作者简介,"dashstar*,蹦迪,DJ,蔡徐坤,电音,CS:GO,音乐,冲击星,打碟,csgo,csgo音乐盒,生活,搞笑",444248705
【Stray Kids】S-Class Challenge—Bling Bling???,https://www.bilibili.com/video/BV1no4y1M7bg,StrayKids,3.46157E+15,423161,3952,48934,11822,11619,7026,2023/5/30 23:02,26,-,未找到作者简介,"邀您参与StrayKids特级项目,金昇玟,黄铉辰,Stray Kids,KPOP,明星舞蹈,舞蹈,challenge,舞蹈,明星舞蹈",401718425
关于大家怎么都是老熟人这件事,https://www.bilibili.com/video/BV1AV4y1z7WV,锌之助吖,189283155,900629,213,113117,4343,33454,2827,2023/5/27 17:48,28,-,未找到作者简介,"越权访问-崩坏：星穹铁道,崩坏·星穹铁道,银河漫游,通往群星的轨道,动画,短片·手书·配音",869119764
《 米 奇 不 妙 屋 》の家居平替好物,https://www.bilibili.com/video/BV16g4y1c7eR,进度条-软装抠搜指南,640152752,814402,189,73397,1026,26801,1545,2023/5/27 19:40,30,-,请你跟我到处抠抠，省下所有扣扣~合作联系+V:cimiy1117,"家居好物大赏,购物分享,家居,好物,省钱,家装,这房子有点东西,生活,家居房产",826533000
兵长巷战,https://www.bilibili.com/video/BV1mP41197iG,bili_76893715876,3.49313E+15,176530,131,49546,15515,6313,655,2023/5/27 20:34,36,-,未找到作者简介,"Akuma no Ko,手绘,绘画,进击的巨人,原创,兵长,生活,绘画",314002697
自 信 扔 刀_单机游戏热门视频,https://www.bilibili.com/video/BV1Dc411G74H,老阎YAN,597725835,1616704,606,195164,12386,49466,7276,2023/5/28 16:23,37,更多荣耀战魂实用攻略教学，爆笑沙雕集锦，你所不知道的荣耀战魂游戏知识，热门荣耀战魂游戏视频7*24小时持续更新,未找到作者简介,"自 信 扔 刀,不问别离,荣耀战魂,游戏集锦,动作游戏,游戏剪辑,格斗游戏,育碧游戏,steam游戏,游戏,单机游戏",271729942
六一限定：“建议成年人在儿童的陪同下观看！”,https://www.bilibili.com/video/BV1EN411C7NL,四川共青团,483940995,1617220,2509,205107,14206,17314,13869,2023/6/1 7:22,38,六一限定：“建议成年人在儿童的陪同下观看！”,未找到作者简介,"勇气大爆发,儿童,六一,限定,成年人,知识,人文历史",486817346
绮良良，但是会唱nyancat,https://www.bilibili.com/video/BV19c411G7qc,星乃一哥,74622365,464676,392,73809,1875,11433,2827,2023/5/28 18:04,38,喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇喵哇,未找到作者简介,"原神UP主激励计划,鬼畜,原神,彩虹猫,nyancat,绮良良,鬼畜,音MAD",271744946
你相信光吗？,https://www.bilibili.com/video/BV118411f7tQ,中国警察网,517433879,399122,445,44365,4618,3074,1665,2023/6/1 10:10,38,你相信光吗？,未找到作者简介,"儿童,六一,生活,日常",229303267
这就叫“空运河车”！,https://www.bilibili.com/video/BV1BW4y197Lm,武当袁师懋,531381429,676171,103,48606,688,6686,808,2023/5/29 18:00,38,不制其心，心不得其正；强制其心，心亦不得其正。,未找到作者简介,"潮流运动季,功夫,袁师懋,养生,武当山,修行,潮流运动季-春日版,运动,运动综合",954230115
再不理我我就……！！！??,https://www.bilibili.com/video/BV1to4y1K7tB,毒霸姬official_金山毒霸,1266594350,57620,222,10385,1461,4214,1686,2023/6/2 14:00,39,主人陪我玩双人成行主人陪我玩胡闹厨房主人让我帮你清理一下电脑主人确定要卸载这个软件吗主人啊呜啊呜真好吃主人让我给你一个流畅的电脑吧……主人主人主人主人你倒是理理我啊哼唧！！！！！统筹：琉璃猫映像,未找到作者简介,"二次元鬼畜,虚拟UP主,鬼畜,洗脑,可爱,音MAD,毒霸姬,金山毒霸,VUP,鬼畜,鬼畜调教",401873684
曹操盖饭，但是scratch,https://www.bilibili.com/video/BV14m4y147zV,大棚の西瓜君,407430370,291044,470,30262,2867,12662,771,2023/5/28 14:55,40,曹操盖饭，但是scratch,未找到作者简介,"曹操盖饭的100种整活方式,鬼畜,搞笑,动画,原创,高能,scratch,曹操盖饭,生活,搞笑",699240058
我们的爱情就像一个急刹技校版,https://www.bilibili.com/video/BV1NW4y1R7E5,阿城来了,1210664579,519968,176,59320,4974,7197,4874,2023/6/1 20:46,41,我们的爱情就像一个急刹技校版,未找到作者简介,"翠花,搞笑动画,原创动画,我们的爱情就像一个急刹,蓝色妖姬,红色风暴,鸡你太美,动画,综合",954282805
不是在玩游戏，而是在练字,https://www.bilibili.com/video/BV1QL411i77K,祁么么mo,9728698,5276007,10639,642051,77294,68899,19564,2023/5/27 19:05,42,祝各位考生金榜题名！bgm：《Shadow of the Sun》,未找到作者简介,"Shadow Of The Sun,写下你对高考的祝福,高考,手工,搞笑,手写,祝福,练字,写字,整活,生活,手工",444090763
御空前瞻让我想起了一位故人_剪辑,https://www.bilibili.com/video/BV1Fh4y1d74o,芙卡洛斯天下第一,409462020,281979,121,30559,1208,4170,2455,2023/5/29 13:09,44,已有30559名玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"御空前瞻让我想起了一位故人,不问别离,崩坏：星穹铁道创作者激励计划,必剪创作,手机游戏,剪辑,混剪,二次元,崩坏星穹铁道,米浴,御空,赛马娘第二季,游戏,手机游戏",656718096
任何时间任何地点 潮流绮良良顶风作案_原神,https://www.bilibili.com/video/BV1Gu4y1f7dt,GENSHIN香香,481621817,576299,203,58944,580,6094,1905,2023/5/27 17:43,47,已有58944名原神玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"任何时间任何地点 潮流绮良良顶风作案,天蓝蓝 (DJ版),原神UP主激励计划,原神,手机游戏,绮良良,游戏,手机游戏",826546436
木雕西瓜凉哇哇，生瓜蛋子保熟吗,https://www.bilibili.com/video/BV1so4y1g7zj,一个大岳儿,318476247,249691,210,22799,1264,1865,386,2023/5/27 17:04,50,-,未找到作者简介,"一起做手工吧！,西瓜,植物大战僵尸,手工,生瓜蛋子,木雕,这瓜保熟吗,一起做手工吧6.0艺术幻想季,生活,手工",399005623
“无名小卒还是名扬天下”_单机游戏热门视频,https://www.bilibili.com/video/BV14c411G7Ui,阵左阵左,1020828694,600572,128,52040,2620,9806,550,2023/5/30 17:54,51,更多赛博朋克2077实用攻略教学，爆笑沙雕集锦，你所不知道的赛博朋克2077游戏知识，热门赛博朋克2077游戏视频7*24小时持续更新,未找到作者简介,"“无名小卒还是名扬天下”,赛博朋克2077,单机游戏,CG混剪,steam游戏,游戏,单机游戏",271625402
b友们要求不带bgm的武当八极拳,https://www.bilibili.com/video/BV19h4y1R7w5,武当韩湘子,357071859,204928,143,29958,1567,4783,533,2023/5/29 18:23,52,-,未找到作者简介,"五月·燃烧卡路里,功夫,健身,武术,武当,八极拳,传统武术,锻炼,一起fun放假,运动,健身",656731521
救命??谁叫她们这么唱精卫的啊！【416女团&戏腔】,https://www.bilibili.com/video/BV12u411s7y2,边靖婷,11423506,1196532,877,156180,24042,32603,2575,2023/5/28 20:00,54,原唱：30年前，50年后翻唱：416女团从左到右：ya妖精-朱鹮、小淅儿-杨淅、可爱晨-程校晨、边靖婷、叶聪明-朱佳音混音：NamieMeng剪辑：小淅儿调色：叶聪明摄影：大白往期节目打卡，总有一个你喜欢的：必听串烧系列：【古风串烧1.0】BV1jg411F7Np【古风串烧2.0】BV1sP4y157Pe【古风串烧3.0】BV1H5411Z7BN【港乐金曲串烧（36分12秒）】BV1ft4y187,未找到作者简介,"精卫,新世代音乐人计划女生季,古风翻唱,国风音乐,开口跪,翻唱,高能,戏腔,美少女,416女团,音乐,翻唱",529184596
宇宙生物超人强 (微阴间),https://www.bilibili.com/video/BV1Eh4y1s7fu,青铃荼阳,27089324,216613,689,21220,1852,8573,1958,2023/6/2 11:45,59,宇宙生物超人强 (微阴间),未找到作者简介,"鬼畜星探企划,鬼畜剧场,美妆,搞笑,奇葩,自制,猪,小呆呆,坤坤,超人强,鬼畜,鬼畜剧场",614257824
当我给胡彦斌早期节目视频配音爱如潮水时.......二次配音 纯属娱乐！,https://www.bilibili.com/video/BV1ts4y1B7Kq,小厮的病例,292713804,288737,216,16341,1329,3360,3514,2023/5/30 18:41,59,-,未找到作者简介,"搞笑配音,配音,同人配音,胡彦斌,纯属娱乐,毫无违和感,视频配音,名场面,爱如潮水,二次配音,娱乐,娱乐杂谈",996664367
祝派蒙生日快乐！【声优读信】_哔哩哔哩bilibili_原神,https://www.bilibili.com/video/BV1ku4y1f7TP,多多poi丶,11253297,538974,4836,114423,23000,15580,3232,2023/6/1 12:05,59,"简介：后期：睡不醒的问号
画师：cytosineee
cv：多多p；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新",未找到作者简介,"祝派蒙生日快乐！【声优读信】,What a Hopeful Voyage 希望的航程,声优,原神,手机游戏,生日快乐,生日,派蒙,游戏,手机游戏",826639597
卡芙卡：你要如何审问我？,https://www.bilibili.com/video/BV19m4y147Uu,拔旗,9253594,422340,213,42324,2519,10983,757,2023/5/31 20:42,60,求关注！求关注！求关注！求关注！求三连~求转发~拜托了喵~欢迎各位收看《星铁那些事》感谢参与本期视频为主角/三月七?配音的@扶安呐  为卡夫卡妈妈?配音的@吱毛  以及我们的实力派画师@空木白鸟  喜欢也不要忘了关注以上几位老师哦！！！！！感谢大家帮助我完成这期小剧场这里是负责脚本文案后期配音的拔旗也感谢您能看到这里如果大家喜欢的话~今后会多多尝试的~娱乐视频?切勿当真?二创图一乐请以官方设定为准,未找到作者简介,"崩坏：星穹铁道创作者激励计划,崩坏：星穹铁道,手书,配音,短片,搞笑,动画,拔旗,卡夫卡,三月七,动画,短片·手书·配音",699356820
实战必用的指令合集，自用靠谱！,https://www.bilibili.com/video/BV15M4y1i7JQ,Zmio紫陌,34751167,541507,85,31613,4172,30976,1291,2023/5/29 23:32,60,更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"CSGO赛事狂欢月,CS:GO,电子竞技,CS,实用指令,教程攻略,指令,csgo,CSGO指令,cs教学,游戏,电子竞技",911636235
感动狗界,https://www.bilibili.com/video/BV1ad4y1f7Gg,钮祜禄-安舒,1744959662,701404,291,80382,2204,6016,4252,2023/5/27 10:33,61,-,未找到作者简介,"这个宠物不重样,动物观察局21.0 小动物集合啦,动物圈,动物二创",401603869
老杨：罗刹，你长这副模样是故意的还是不小心的？_手机游戏热门视频,https://www.bilibili.com/video/BV1ou411s7hx,裂-瞳,20112795,431716,375,39110,878,6841,3642,2023/5/29 15:39,61,"简介：老杨：我都没眼看了
崩坏三
崩坏3
崩坏星穹铁道
奥托
罗刹；更多崩坏3实用攻略教学，爆笑沙雕集锦，你所不知道的崩坏3游戏知识，热门崩坏3游戏视频7*24小时持续更新",未找到作者简介,"老杨：罗刹，你长这副模样是故意的还是不小心的？,崩坏：星穹铁道创作者激励计划,崩坏3,必剪创作,手机游戏,崩坏星穹铁道,奥托,罗刹,老杨,米哈游,银河漫游,游戏,手机游戏",529217322
《声优都是怪物之吃货专家》 ——  该说不说，他配的都是我爱吃的啊,https://www.bilibili.com/video/BV1V24y1P7ay,钱钱子RICH_呆呆,1081132475,443846,537,51174,488,11134,2653,2023/5/29 17:00,61,——?该说不说，他配的都是我爱吃的啊 视频播放量 443846、弹幕量 537、点赞数 51174、投硬币枚数 488、收藏人数 11134、转发人数 2653,未找到作者简介,"原神UP主激励计划,声优,原神,手机游戏,声优都是怪物,凯亚,游戏,手机游戏",784246030
布洛妮娅？假面骑士巴尔坎！,https://www.bilibili.com/video/BV1Xc411G7rt,蜗牛小锋,5184863,281371,84,27784,914,4020,944,2023/5/31 12:00,61,我就是规则！,未找到作者简介,"崩坏：星穹铁道创作者激励计划,布洛妮娅,崩坏：星穹铁道,假面骑士,特摄,星穹铁道,假面骑士巴尔坎,动画,短片·手书·配音",271739804
【明日方舟】好怪哦～再看一遍！,https://www.bilibili.com/video/BV1wW4y1R7aB,柯里里,32641117,754740,606,75425,6409,15086,5382,2023/6/1 17:05,62,想画一些这种类型同人视频，群友想的小剧情或粉丝想到的小剧情，都可以画，?十几秒一个左右。,    ⅰ?     该账号好得很,"明日方舟创作者应援计划,明日方舟,同人,动画,明日方舟UP主应援计划 – 孤星,动画,短片·手书·配音",954275664
成为中世纪垃圾佬 捡垃圾打铁致富娶老婆 剑与盾模拟器 上架steam_游戏资讯,https://www.bilibili.com/video/BV1HL411q73i,小飞moor,36466995,470458,236,33035,1619,13521,1987,2023/5/28 18:49,62,简介：当你的族人被无情地卷入战争时，这一切终将以惨烈的牺牲和村庄的；已有33035名玩家向您推荐本视频，点击前往哔哩哔哩bilibili一起观看；更多实用攻略教学，爆笑沙雕集锦，你所不知道的游戏知识，热门游戏视频7*24小时持续更新,未找到作者简介,"成为中世纪垃圾佬 捡垃圾打铁致富娶老婆 剑与盾模拟器 上架steam,游戏知识分享官,沙盒游戏,单机游戏,游戏资讯,生存游戏,热门游戏,STEAM游戏,动作游戏,免费游戏,新游推荐,游戏,单机游戏",444190206
现实版“熬鹰”！5只猫头鹰排排站陪民警值班,https://www.bilibili.com/video/BV1nh4y1s74Q,新华社快看,515155585,710955,665,45787,749,4990,3325,2023/5/31 11:26,64,近日，四川宜宾，一居民在浴室发现5只猫头鹰幼崽。民警将它们带回派出所，并联系野生动物保护站。小家伙们在派出所十分乖巧，还会排排站，陪民警熬夜值班。-宜宾公安,未找到作者简介,"政媒扶持计划,猫头鹰,社会,可爱,动物,四川,中国,宜宾,野生动物,资讯,动物圈,动物综合",614262589
懂的太多和啥也不懂！,https://www.bilibili.com/video/BV13m4y147MU,大天搞笑配音,138894648,406228,169,30565,2629,1128,711,2023/5/30 23:43,64,懂的太多和啥也不懂！,未找到作者简介,"搞笑配音,配音,搞笑,同人配音,搞笑视频,动物观察局21.0 小动物集合啦,动物圈,动物综合",699185664
【上头警告】《美乐笛之歌》新单加载100%，依哈哈哈哈哈，有被笑到！,https://www.bilibili.com/video/BV1ro4y1M727,洛天依,36081646,219935,264,33068,3319,4999,809,2023/5/31 16:31,67,《美乐笛之歌》原曲：神经病之歌原作词/作曲：ilem改编作词：珍宝珠-ChupaChups重编曲：iKz-茶壶演唱：洛天依人物设定：御坂的蓝白,未找到作者简介,"洛天依,VOCALOID,虚拟歌手,洗脑,魔性,Q版,Vsinger,音乐,VOCALOID·UTAU",401782312
【时雨绮罗】听歌吗？要命的那种,https://www.bilibili.com/video/BV1wc411V7VB,腥味猫罐,305956876,115921,86,15566,3625,5827,589,2023/6/2 18:00,68,kira～??征服敌人和观众都要全力以赴！,未找到作者简介,"Lights (Single Version),来拍崩坏3吧,4K,崩坏3,手机游戏,COS,萌妹子,时雨绮罗,米哈游,崩坏3创作激励计划,时尚,仿妆cos",271768492
